Method,Seed,FixedIteration,NRMSE,PSNRdB,SupportSpectrumError,PoissonNLL,ElapsedSeconds
Log-SGD,127,16,0.540991510693646,34.7931046396464,0.300604106232835,13015.762554658,0.4445468
Full whitening,2,99,0.455068723718966,36.2953738820295,0.239405895322412,14411.9761601822,2.9765464
Full whitening,5,99,0.450045467553826,36.391785797932,0.233093601011029,13195.1920538924,2.804381
Full whitening,13,99,0.443633969861839,36.5164177733704,0.227148409899357,13352.9600568467,3.1714504
Full whitening,17,99,0.445353732606179,36.4828117111186,0.23308429229605,12757.0612981262,3.2444218
Full whitening,23,99,0.43553070851791,36.6765380072429,0.218797162887557,12373.5953526947,3.0464825
Full whitening,31,99,0.447399013865889,36.4430131925442,0.23673377969592,13004.1168738077,3.0796035
Full whitening,43,99,0.445571045480772,36.4785744158284,0.22463075047193,13856.231242768,3.0268973
Full whitening,59,99,0.451181137539592,36.369894945338,0.232958080917017,12877.2915135653,2.9975821
Full whitening,73,99,0.461712889641352,36.1694736643445,0.241187824858947,13955.6431004073,3.0805434
Full whitening,89,99,0.443518909712365,36.5186708230728,0.22698551693099,12705.3587427692,3.0642949
Full whitening,101,99,0.448873472010942,36.4144348472774,0.230776069674095,13316.8409734626,3.1093175
Full whitening,127,99,0.448043430657877,36.4305113636738,0.241800431452778,12228.4630838844,3.0259782
Half whitening,2,131,0.454603921088315,36.3042500964078,0.237275822533731,14395.9538845944,3.6212435
Half whitening,5,131,0.449863976261024,36.3952892912485,0.230105531620736,13184.2421125532,3.6212248
Half whitening,13,131,0.443408997810475,36.5208236083139,0.225127798308445,13391.2827076728,3.9868114
Half whitening,17,131,0.447061136388756,36.449575288388,0.232030587042041,12737.8146051151,3.8930684
Half whitening,23,131,0.435901339266363,36.6691495757987,0.216302860050879,12370.5248664346,3.8109378
Half whitening,31,131,0.448118880017529,36.4290488053739,0.234462729549583,13004.9266996177,3.7216003
Half whitening,43,131,0.445326812770302,36.4833367539632,0.221241314647286,13826.1744143627,3.6935951
Half whitening,59,131,0.451202959836372,36.3694748447134,0.229913055974838,12857.3395694078,3.7956097
Half whitening,73,131,0.462135349850207,36.1615298422979,0.240370817447556,13924.0136637632,3.7499643
Half whitening,89,131,0.444862501233698,36.4923976561036,0.225255199363328,12690.6195853042,3.7968169
Half whitening,101,131,0.448685042167215,36.4180818091753,0.228157469959182,13299.6672563589,3.8058611
Half whitening,127,131,0.447109565535789,36.4486344160781,0.238318195214793,12239.0220035084,3.7634808
SCR-RL,2,12,0.440683350981657,36.5743807793222,0.345378365798783,13836.9102374462,0.1792529
SCR-RL,5,12,0.446123275678174,36.4678159954844,0.345755526617905,12597.789352544,0.1768136
SCR-RL,13,12,0.449002448430772,36.4119394580354,0.343839798109757,12837.6099058554,0.1825654
SCR-RL,17,12,0.427406424131932,36.8400927319825,0.332660086307478,12175.3174679765,0.1862211
SCR-RL,23,12,0.438506290875632,36.6173970787992,0.337259614339532,11824.9417427325,0.1852176
SCR-RL,31,12,0.447147359841086,36.4479002262595,0.348607293232046,12450.3932257506,0.1689741
SCR-RL,43,12,0.430093095402506,36.7856642314893,0.329827894854675,13259.0435664622,0.161583
SCR-RL,59,12,0.438597659760606,36.6155874414044,0.340029528231851,12296.8001651091,0.1626442
SCR-RL,73,12,0.456717545310915,36.2639597261513,0.356983110323598,13338.0396834272,0.1566594
SCR-RL,89,12,0.431873015023011,36.749792270456,0.332540237022421,12104.9875295881,0.1681984
SCR-RL,101,12,0.436502103138139,36.6571868318204,0.336294838886269,12715.4672790444,0.1732918
SCR-RL,127,12,0.437701012609236,36.6333626159303,0.340284197164398,11686.5212706655,0.1693343
